web-scraper-order,web-scraper-start-url,Country,Country-href,State,State-href,City,City-href,LOCATIONS,Status,AQI-US,AQI-IN,PM25,PM10,Temp,Humid
"1681839188-174","https://www.aqi.in/","Zambia","https://www.aqi.in/dashboard/zambia","Lusaka","https://www.aqi.in/dashboard/zambia/lusaka","Lusaka","https://www.aqi.in/dashboard/zambia/lusaka/lusaka","CEEEZ Parirenyetwa Rd","GOOD","33","13","8","8","25","50"
"1681839188-175","https://www.aqi.in/","Zambia","https://www.aqi.in/dashboard/zambia","Lusaka","https://www.aqi.in/dashboard/zambia/lusaka","Lusaka","https://www.aqi.in/dashboard/zambia/lusaka/lusaka","SupaMoto Lunsemfwa Rd","GOOD","66","32","19","20","25","50"
"1681839197-176","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Tuyen Quang","https://www.aqi.in/dashboard/vietnam/tuyen-quang","Tuyen Quang","https://www.aqi.in/dashboard/vietnam/tuyen-quang/tuyen-quang","AQSEA_VN_012","UNHEALTHY","182","285","116","125","26","83"
"1681839202-177","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Tra Vinh","https://www.aqi.in/dashboard/vietnam/tra-vinh","Tra Vinh","https://www.aqi.in/dashboard/vietnam/tra-vinh/tra-vinh","Tra Vinh/xa Dan Thanh","GOOD","18","19","3","6","26","79"
"1681839202-178","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Tra Vinh","https://www.aqi.in/dashboard/vietnam/tra-vinh","Tra Vinh","https://www.aqi.in/dashboard/vietnam/tra-vinh/tra-vinh","Tra Vinh/xa Dong Hai","GOOD","1","1","0","1","26","79"
"1681839208-179","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Thanh Hoa","https://www.aqi.in/dashboard/vietnam/thanh-hoa","Thanh Hoa","https://www.aqi.in/dashboard/vietnam/thanh-hoa/thanh-hoa","AQSEA_VN_018","MODERATE","134","82","49","59","25","86"
"1681839213-180","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Thai Nguyen","https://www.aqi.in/dashboard/vietnam/thai-nguyen","Thai Nguyen","https://www.aqi.in/dashboard/vietnam/thai-nguyen/thai-nguyen","Thai Nguyen Hung Vuong Street Thai Nguyen City","POOR","96","130","27","145","25","92"
"1681839219-181","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Quang Ninh","https://www.aqi.in/dashboard/vietnam/quang-ninh","Ha Long","https://www.aqi.in/dashboard/vietnam/quang-ninh/ha-long","Ha Long","GOOD","13","14","0","0","24","93"
"1681839222-182","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Quang Ninh","https://www.aqi.in/dashboard/vietnam/quang-ninh","Cam Pha","https://www.aqi.in/dashboard/vietnam/quang-ninh/cam-pha","AQSEA_VN_017","MODERATE","144","89","53","69","24","90"
"1681839228-183","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Phu Tho","https://www.aqi.in/dashboard/vietnam/phu-tho","Viet Tri","https://www.aqi.in/dashboard/vietnam/phu-tho/viet-tri","Viet Tri","MODERATE","84","51","28","51","26","89"
"1681839238-184","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Nghe An","https://www.aqi.in/dashboard/vietnam/nghe-an","Vinh","https://www.aqi.in/dashboard/vietnam/nghe-an/vinh","Nghe An/Truong Thi","MODERATE","61","57","17","57","26","80"
"1681839245-185","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Lao Cai","https://www.aqi.in/dashboard/vietnam/lao-cai","Lao Cai","https://www.aqi.in/dashboard/vietnam/lao-cai/lao-cai","Lao Cai/Tram gan KCN Tang Loong 2","MODERATE","63","79","18","79","28","53"
"1681839251-186","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Lang Son","https://www.aqi.in/dashboard/vietnam/lang-son","Lang Son","https://www.aqi.in/dashboard/vietnam/lang-son/lang-son","Lang Son/xa Hong Phong Cao Loc","GOOD","18","19","1","3","24","87"
"1681839262-187","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ho Chi Minh","https://www.aqi.in/dashboard/vietnam/ho-chi-minh","Ho Chi Minh City","https://www.aqi.in/dashboard/vietnam/ho-chi-minh/ho-chi-minh-city","Long An/TT van hoa huyen Can Giuoc","GOOD","6","5","0","0","28","89"
"1681839273-188","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Hai Phong","https://www.aqi.in/dashboard/vietnam/hai-phong","Haiphong","https://www.aqi.in/dashboard/vietnam/hai-phong/haiphong","AQSEA_VN_014","MODERATE","115","69","41","49","24","94"
"1681839273-189","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Hai Phong","https://www.aqi.in/dashboard/vietnam/hai-phong","Haiphong","https://www.aqi.in/dashboard/vietnam/hai-phong/haiphong","Hai Duong/TT Minh Tan Kinh Mon","GOOD","15","16","0","0","24","94"
"1681839273-190","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Hai Phong","https://www.aqi.in/dashboard/vietnam/hai-phong","Haiphong","https://www.aqi.in/dashboard/vietnam/hai-phong/haiphong","Hai Phong/Phu Lien","GOOD","55","41","14","41","24","94"
"1681839279-191","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Hai Duong","https://www.aqi.in/dashboard/vietnam/hai-duong","Hai Duong","https://www.aqi.in/dashboard/vietnam/hai-duong/hai-duong","Hai Duong/Co Dung Kim Thanh","GOOD","6","1","0","1","26","89"
"1681839279-192","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Hai Duong","https://www.aqi.in/dashboard/vietnam/hai-duong","Hai Duong","https://www.aqi.in/dashboard/vietnam/hai-duong/hai-duong","Hai Duong/Gan nhiet Dien Pha Lai Chi Linh","GOOD","7","8","0","1","26","89"
"1681839279-193","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Hai Duong","https://www.aqi.in/dashboard/vietnam/hai-duong","Hai Duong","https://www.aqi.in/dashboard/vietnam/hai-duong/hai-duong","Hai Duong/Hoi Doanh Nghiep Kinh Mon","GOOD","10","11","0","0","26","89"
"1681839279-194","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Hai Duong","https://www.aqi.in/dashboard/vietnam/hai-duong","Hai Duong","https://www.aqi.in/dashboard/vietnam/hai-duong/hai-duong","Hai Duong/TT Lai Cach Cam Giang","GOOD","6","6","0","0","26","89"
"1681839279-195","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Hai Duong","https://www.aqi.in/dashboard/vietnam/hai-duong","Hai Duong","https://www.aqi.in/dashboard/vietnam/hai-duong/hai-duong","Hai Duong/TT Phu Thai Kim Thanh","GOOD","6","7","0","1","26","89"
"1681839285-196","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ha NoI","https://www.aqi.in/dashboard/vietnam/ha-noi","Hanoi","https://www.aqi.in/dashboard/vietnam/ha-noi/hanoi","AQSEA_VN_001","MODERATE","152","96","57","69","26","89"
"1681839285-197","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ha NoI","https://www.aqi.in/dashboard/vietnam/ha-noi","Hanoi","https://www.aqi.in/dashboard/vietnam/ha-noi/hanoi","AQSEA_VN_002","POOR","154","104","61","73","26","89"
"1681839285-198","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ha NoI","https://www.aqi.in/dashboard/vietnam/ha-noi","Hanoi","https://www.aqi.in/dashboard/vietnam/ha-noi/hanoi","AQSEA_VN_003","MODERATE","127","76","46","55","26","89"
"1681839285-199","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ha NoI","https://www.aqi.in/dashboard/vietnam/ha-noi","Hanoi","https://www.aqi.in/dashboard/vietnam/ha-noi/hanoi","AQSEA_VN_009","POOR","157","124","67","77","26","89"
"1681839285-200","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ha NoI","https://www.aqi.in/dashboard/vietnam/ha-noi","Hanoi","https://www.aqi.in/dashboard/vietnam/ha-noi/hanoi","Bac Ninh/UBND_xa Xuan Lam, Vietnam","GOOD","55","49","14","49","26","89"
"1681839285-201","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ha NoI","https://www.aqi.in/dashboard/vietnam/ha-noi","Hanoi","https://www.aqi.in/dashboard/vietnam/ha-noi/hanoi","Ban Dao Linh Dam","MODERATE","99","58","35","57","26","89"
"1681839285-202","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ha NoI","https://www.aqi.in/dashboard/vietnam/ha-noi","Hanoi","https://www.aqi.in/dashboard/vietnam/ha-noi/hanoi","Ha Noi/Hong Ha","GOOD","4","2","1","2","26","89"
"1681839285-203","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ha NoI","https://www.aqi.in/dashboard/vietnam/ha-noi","Hanoi","https://www.aqi.in/dashboard/vietnam/ha-noi/hanoi","Ha Noi/Lang Thuợng","GOOD","4","2","1","2","26","89"
"1681839285-204","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ha NoI","https://www.aqi.in/dashboard/vietnam/ha-noi","Hanoi","https://www.aqi.in/dashboard/vietnam/ha-noi/hanoi","Hanoi","MODERATE","95","91","33","91","26","89"
"1681839285-205","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Ha NoI","https://www.aqi.in/dashboard/vietnam/ha-noi","Hanoi","https://www.aqi.in/dashboard/vietnam/ha-noi/hanoi","Research Center for Environmental Monitoring and Modeling","MODERATE","134","82","49","52","26","89"
"1681839293-206","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Cao Bang","https://www.aqi.in/dashboard/vietnam/cao-bang","Cao Bang","https://www.aqi.in/dashboard/vietnam/cao-bang/cao-bang","Cao Bang/Phuong De Tham","GOOD","25","27","0","5","23","85"
"1681839293-207","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Cao Bang","https://www.aqi.in/dashboard/vietnam/cao-bang","Cao Bang","https://www.aqi.in/dashboard/vietnam/cao-bang/cao-bang","Cao BaNgtraM Khi Ttqt","GOOD","44","47","10","47","23","87"
"1681839299-208","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Bac Ninh","https://www.aqi.in/dashboard/vietnam/bac-ninh","Bac Ninh","https://www.aqi.in/dashboard/vietnam/bac-ninh/bac-ninh","Bac Ninh Binh Dinh","GOOD","50","33","12","33","26","89"
"1681839299-209","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Bac Ninh","https://www.aqi.in/dashboard/vietnam/bac-ninh","Bac Ninh","https://www.aqi.in/dashboard/vietnam/bac-ninh/bac-ninh","Bac Ninh Peoples Committee Of Yen Phong","GOOD","20","8","0","0","27","84"
"1681839299-210","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Bac Ninh","https://www.aqi.in/dashboard/vietnam/bac-ninh","Bac Ninh","https://www.aqi.in/dashboard/vietnam/bac-ninh/bac-ninh","Bac Ninh Tieu Hoc Dai Bai","GOOD","76","49","24","49","26","89"
"1681839299-211","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Bac Ninh","https://www.aqi.in/dashboard/vietnam/bac-ninh","Bac Ninh","https://www.aqi.in/dashboard/vietnam/bac-ninh/bac-ninh","Bac Ninh Ubnd Que Vu","MODERATE","105","87","37","87","26","89"
"1681839306-212","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Bac Giang","https://www.aqi.in/dashboard/vietnam/bac-giang","Bac Giang","https://www.aqi.in/dashboard/vietnam/bac-giang/bac-giang","AQSEA_VN_022","POOR","160","143","73","79","26","89"
"1681839306-213","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Bac Giang","https://www.aqi.in/dashboard/vietnam/bac-giang","Bac Giang","https://www.aqi.in/dashboard/vietnam/bac-giang/bac-giang","Bac Ninh Phong Coc","MODERATE","78","61","25","61","26","89"
"1681839306-214","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Bac Giang","https://www.aqi.in/dashboard/vietnam/bac-giang","Bac Giang","https://www.aqi.in/dashboard/vietnam/bac-giang/bac-giang","Bac Ninh Phu Lang","POOR","110","103","39","105","26","89"
"1681839306-215","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Bac Giang","https://www.aqi.in/dashboard/vietnam/bac-giang","Bac Giang","https://www.aqi.in/dashboard/vietnam/bac-giang/bac-giang","Lang Son/Dong Tan Huu Lung","POOR","137","185","38","227","26","89"
"1681839315-216","https://www.aqi.in/","Uzbekistan","https://www.aqi.in/dashboard/uzbekistan","Toshkent","https://www.aqi.in/dashboard/uzbekistan/toshkent","Tashkent","https://www.aqi.in/dashboard/uzbekistan/toshkent/tashkent","Tashkent Us Embassy","GOOD","76","46","24","46","9","53"
"1681839325-217","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Wyoming","https://www.aqi.in/dashboard/united-states/wyoming","Ranchettes","https://www.aqi.in/dashboard/united-states/wyoming/ranchettes","Cheyenne Ncore","GOOD","29","24","7","19","9","39"
"1681839328-218","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Wyoming","https://www.aqi.in/dashboard/united-states/wyoming","Lander","https://www.aqi.in/dashboard/united-states/wyoming/lander","Pinedale","MODERATE","51","55","0","0","8","51"
"1681839328-219","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Wyoming","https://www.aqi.in/dashboard/united-states/wyoming","Lander","https://www.aqi.in/dashboard/united-states/wyoming/lander","Pinedale Gaseous","GOOD","43","46","10","0","8","51"
"1681839328-220","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Wyoming","https://www.aqi.in/dashboard/united-states/wyoming","Lander","https://www.aqi.in/dashboard/united-states/wyoming/lander","South Pass","GOOD","43","46","8","0","8","51"
"1681839334-221","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Wisconsin","https://www.aqi.in/dashboard/united-states/wisconsin","Waukesha","https://www.aqi.in/dashboard/united-states/wisconsin/waukesha","Waukesha Cleveland Ave.","GOOD","38","7","4","7","5","56"
"1681839339-222","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Wisconsin","https://www.aqi.in/dashboard/united-states/wisconsin","Platteville","https://www.aqi.in/dashboard/united-states/wisconsin/platteville","Potosi","GOOD","21","8","5","0","7","53"
"1681839342-223","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Wisconsin","https://www.aqi.in/dashboard/united-states/wisconsin","Green Bay","https://www.aqi.in/dashboard/united-states/wisconsin/green-bay","Green Bay E High","GOOD","38","41","3","0","4","62"
"1681839355-224","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","White Center","https://www.aqi.in/dashboard/united-states/washington/white-center","Duwamish","GOOD","17","7","4","0","6","73"
"1681839358-225","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Tracyton","https://www.aqi.in/dashboard/united-states/washington/tracyton","Spruce Ave","GOOD","8","4","2","0","2","100"
"1681839361-226","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Seattle","https://www.aqi.in/dashboard/united-states/washington/seattle","10Th And Weller","GOOD","38","15","9","0","4","86"
"1681839364-227","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Omak","https://www.aqi.in/dashboard/united-states/washington/omak","Chewuch Rd","GOOD","13","4","3","0","7","58"
"1681839367-228","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","North Bend","https://www.aqi.in/dashboard/united-states/washington/north-bend","North Bend Way","GOOD","4","2","1","0","5","76"
"1681839370-229","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Midland","https://www.aqi.in/dashboard/united-states/washington/midland","L Street","GOOD","4","0","1","0","3","87"
"1681839373-230","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Marysville","https://www.aqi.in/dashboard/united-states/washington/marysville","7Th Ave","GOOD","25","10","6","0","6","61"
"1681839376-231","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Fife","https://www.aqi.in/dashboard/united-states/washington/fife","Alexander Ave","GOOD","4","2","1","0","5","93"
"1681839379-232","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Ellensburg","https://www.aqi.in/dashboard/united-states/washington/ellensburg","Ruby St","GOOD","13","5","3","0","3","70"
"1681839382-233","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Colville","https://www.aqi.in/dashboard/united-states/washington/colville","E 1St St","GOOD","29","12","7","6","2","97"
"1681839385-234","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Bellingham","https://www.aqi.in/dashboard/united-states/washington/bellingham","Pacific St","GOOD","21","8","5","0","5","93"
"1681839388-235","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Anacortes","https://www.aqi.in/dashboard/united-states/washington/anacortes","Anacortes 202 Avenue","GOOD","31","33","6","0","5","93"
"1681839391-236","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Washington","https://www.aqi.in/dashboard/united-states/washington","Airway Heights","https://www.aqi.in/dashboard/united-states/washington/airway-heights","W 12Th Ave","GOOD","13","5","3","0","2","69"
"1681839397-237","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Virginia","https://www.aqi.in/dashboard/united-states/virginia","Suffolk","https://www.aqi.in/dashboard/united-states/virginia/suffolk","Va Tech Agricultural Research Center","GOOD","19","20","0","0","21","20"
"1681839400-238","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Virginia","https://www.aqi.in/dashboard/united-states/virginia","Highland Springs","https://www.aqi.in/dashboard/united-states/virginia/highland-springs","Hanover","GOOD","22","24","5","16","21","19"
"1681839405-239","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Virginia","https://www.aqi.in/dashboard/united-states/virginia","Fredericksburg","https://www.aqi.in/dashboard/united-states/virginia/fredericksburg","Fredericksburg Geomagnetic Observatory","GOOD","20","22","0","0","18","89"
"1681839408-240","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Virginia","https://www.aqi.in/dashboard/united-states/virginia","Buena Vista","https://www.aqi.in/dashboard/united-states/virginia/buena-vista","Natural Bridge Station","GOOD","21","23","0","0","18","26"
"1681839419-241","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Vermont","https://www.aqi.in/dashboard/united-states/vermont","South Burlington","https://www.aqi.in/dashboard/united-states/vermont/south-burlington","Burlington","GOOD","19","20","4","20","7","68"
"1681839422-242","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Vermont","https://www.aqi.in/dashboard/united-states/vermont","Rutland","https://www.aqi.in/dashboard/united-states/vermont/rutland","Rutland","GOOD","26","19","4","19","5","73"
"1681839428-243","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","West Bountiful","https://www.aqi.in/dashboard/united-states/utah/west-bountiful","Bountiful 2","GOOD","42","45","9","0","10","61"
"1681839433-244","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Syracuse","https://www.aqi.in/dashboard/united-states/utah/syracuse","Davis","GOOD","42","45","9","0","5","81"
"1681839436-245","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","South Salt Lake","https://www.aqi.in/dashboard/united-states/utah/south-salt-lake","Salt Lake City","GOOD","39","42","7","0","12","50"
"1681839439-246","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Roosevelt","https://www.aqi.in/dashboard/united-states/utah/roosevelt","Duchesne","GOOD","42","41","10","0","13","48"
"1681839443-247","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Provo","https://www.aqi.in/dashboard/united-states/utah/provo","Utah","GOOD","38","41","7","0","11","56"
"1681839446-248","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Ogden","https://www.aqi.in/dashboard/united-states/utah/ogden","Weber","GOOD","38","41","7","0","6","57"
"1681839449-249","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Logan","https://www.aqi.in/dashboard/united-states/utah/logan","Cache","GOOD","38","41","7","0","17","21"
"1681839452-250","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Hurricane","https://www.aqi.in/dashboard/united-states/utah/hurricane","Hurricane","GOOD","63","30","18","0","17","21"
"1681839452-251","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Hurricane","https://www.aqi.in/dashboard/united-states/utah/hurricane","Washington","GOOD","63","30","18","0","14","28"
"1681839454-252","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Harrisville","https://www.aqi.in/dashboard/united-states/utah/harrisville","Harrisville","GOOD","40","43","9","32","10","58"
"1681839458-253","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Enoch","https://www.aqi.in/dashboard/united-states/utah/enoch","Enoch","GOOD","53","44","13","0","12","28"
"1681839458-254","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Enoch","https://www.aqi.in/dashboard/united-states/utah/enoch","Iron","GOOD","55","46","14","0","13","26"
"1681839461-255","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Utah","https://www.aqi.in/dashboard/united-states/utah","Brigham City","https://www.aqi.in/dashboard/united-states/utah/brigham-city","Box Elder","GOOD","38","41","7","0","8","65"
"1681839467-256","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Waxahachie","https://www.aqi.in/dashboard/united-states/texas/waxahachie","Italy","GOOD","33","36","0","0","20","75"
"1681839470-257","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Texarkana","https://www.aqi.in/dashboard/united-states/texas/texarkana","Texarkana New Boston","GOOD","66","31","19","0","20","53"
"1681839473-258","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","South Houston","https://www.aqi.in/dashboard/united-states/texas/south-houston","Park Place","GOOD","38","41","0","0","22","73"
"1681839476-259","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Socorro","https://www.aqi.in/dashboard/united-states/texas/socorro","Hollow Relief","MODERATE","55","63","9","63","18","15"
"1681839479-260","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Seabrook","https://www.aqi.in/dashboard/united-states/texas/seabrook","Seabrook Friendship Park","GOOD","34","37","7","0","13","48"
"1681839482-261","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Port Isabel","https://www.aqi.in/dashboard/united-states/texas/port-isabel","Isla Blanca Park","GOOD","46","18","11","0","26","72"
"1681839485-262","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Pasadena","https://www.aqi.in/dashboard/united-states/texas/pasadena","Houston Deer Park 2","GOOD","38","41","0","0","18","26"
"1681839488-263","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Orange","https://www.aqi.in/dashboard/united-states/texas/orange","Orange Central Tablelands","GOOD","18","19","2","7","9","87"
"1681839492-264","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Odessa","https://www.aqi.in/dashboard/united-states/texas/odessa","Odessa Gonzales","GOOD","42","17","10","0","17","48"
"1681839494-265","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Lubbock","https://www.aqi.in/dashboard/united-states/texas/lubbock","Lubbock 12Th Street","GOOD","42","17","10","0","27","24"
"1681839498-266","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Leon Valley","https://www.aqi.in/dashboard/united-states/texas/leon-valley","San Antonio Northwest","GOOD","53","30","13","0","22","79"
"1681839504-267","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Laredo","https://www.aqi.in/dashboard/united-states/texas/laredo","World Trade Bridge","GOOD","46","18","11","0","23","78"
"1681839509-268","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Lacy Lakeview","https://www.aqi.in/dashboard/united-states/texas/lacy-lakeview","Waco Mazanec","GOOD","32","35","7","0","19","78"
"1681839512-269","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Lackland Afb","https://www.aqi.in/dashboard/united-states/texas/lackland-afb","Old Hwy 90","GOOD","50","20","12","0","22","79"
"1681839515-270","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Kirby","https://www.aqi.in/dashboard/united-states/texas/kirby","Cps Pecan Valley","GOOD","19","21","0","0","21","81"
"1681839518-271","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Kaufman","https://www.aqi.in/dashboard/united-states/texas/kaufman","Kaufman","GOOD","35","38","3","0","21","65"
"1681839521-272","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Jacinto City","https://www.aqi.in/dashboard/united-states/texas/jacinto-city","Houston East","GOOD","33","36","3","0","21","76"
"1681839525-273","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Highlands","https://www.aqi.in/dashboard/united-states/texas/highlands","Baytown","GOOD","46","18","11","0","8","61"
"1681839537-274","https://www.aqi.in/","United States","https://www.aqi.in/dashboard/united-states","Texas","https://www.aqi.in/dashboard/united-states/texas","Groves","https://www.aqi.in/dashboard/united-states/texas/groves","Port Arthur Memorial School","GOOD","55","23","14","0","21","84"
